January,February,March,April,May,June,July,August,September,October,November,December,year,state
34.1,48.4,54.9,62.0,69.8,85.0,90.4,81.6,78.7,64.4,52.9,38.1,2017,Nebraska
39.5,41.4,52.0,61.7,71.5,85.6,89.8,89.2,83.3,68.1,48.1,33.5,2022,Nebraska
40.6,52.0,47.7,65.3,60.2,83.3,88.2,85.9,76.8,68.8,54.2,47.0,1977,Nevada
38.6,46.3,48.2,57.1,68.8,76.9,84.8,86.3,72.0,59.5,46.1,40.2,1982,Nevada
38.8,46.0,50.2,67.8,69.8,82.2,84.1,87.1,81.1,70.4,49.5,38.4,1987,Nevada
42.2,49.3,54.8,67.5,76.8,79.4,85.6,87.9,79.6,68.4,47.6,37.1,1992,Nevada
41.1,45.7,59.1,58.2,75.7,77.7,85.6,88.0,77.7,64.6,52.7,40.2,1997,Nevada
41.5,48.5,51.5,63.7,71.1,84.2,93.0,87.3,79.0,64.1,53.1,44.0,2002,Nevada
40.2,48.5,60.2,62.9,74.7,84.5,93.3,88.9,76.9,64.0,56.3,39.1,2007,Nevada
48.2,46.4,55.5,64.2,73.8,83.4,89.9,90.2,82.4,68.2,56.2,40.8,2012,Nevada
38.0,47.0,58.7,59.9,71.8,84.7,92.3,88.7,76.0,66.2,56.8,48.2,2017,Nevada
45.9,47.9,56.2,61.6,69.0,82.6,92.0,88.7,82.8,69.9,46.1,41.3,2022,Nevada
21.6,29.3,45.4,54.4,70.6,70.8,78.3,75.9,65.4,55.7,45.4,28.8,1977,New Hampshire
20.4,29.7,38.8,50.2,68.1,68.8,79.6,73.7,68.5,58.0,47.1,38.5,1982,New Hampshire
27.5,29.1,42.9,55.7,66.6,73.3,79.1,74.7,66.2,55.8,43.8,33.8,1987,New Hampshire
28.7,31.3,36.7,49.6,66.9,73.5,74.2,73.8,68.5,52.6,40.9,33.0,1992,New Hampshire
27.4,35.5,36.8,50.2,59.4,76.0,78.0,75.4,67.2,55.7,41.1,33.8,1997,New Hampshire
34.9,36.2,40.4,55.4,62.6,72.4,79.5,81.3,73.5,53.3,41.1,31.9,2002,New Hampshire
30.6,24.8,39.8,48.9,67.9,74.2,76.6,78.2,71.8,61.9,42.0,29.9,2007,New Hampshire
31.4,36.7,50.3,56.6,68.0,73.4,81.4,80.4,69.3,58.9,43.5,36.0,2012,New Hampshire
33.9,36.6,35.1,56.9,62.5,74.3,77.6,76.0,73.4,65.4,43.8,27.7,2017,New Hampshire
26.1,35.0,42.4,53.3,70.4,73.4,81.4,81.1,68.2,60.7,50.1,36.6,2022,New Hampshire
28.5,41.3,55.6,64.8,75.6,78.0,86.0,83.1,75.8,62.6,53.0,40.3,1977,New Jersey
31.5,40.8,49.0,59.7,73.0,75.6,84.8,80.4,74.6,65.4,56.6,48.2,1982,New Jersey
37.0,39.6,53.5,60.3,72.3,81.9,86.3,81.7,74.9,62.2,55.5,44.8,1987,New Jersey
41.8,43.6,47.1,59.0,69.3,77.7,82.2,79.9,74.4,62.2,51.8,42.7,1992,New Jersey
38.9,47.6,51.0,59.8,68.6,79.8,85.8,81.9,75.2,65.6,50.3,44.2,1997,New Jersey
45.7,49.4,53.3,65.6,70.9,81.4,87.4,86.9,79.0,63.1,52.0,41.5,2002,New Jersey
45.2,34.9,52.6,58.6,76.0,81.6,84.1,83.5,79.6,72.1,52.7,42.8,2007,New Jersey
44.7,48.2,60.5,64.4,74.8,80.9,88.5,84.6,77.2,65.7,50.4,48.3,2012,New Jersey
43.3,50.5,48.6,66.8,69.5,81.3,85.0,81.4,78.2,71.1,54.8,41.2,2017,New Jersey
37.8,47.1,54.5,61.8,73.6,80.9,88.4,88.1,78.0,64.3,58.1,44.9,2022,New Jersey
43.9,53.4,56.3,67.1,76.0,87.6,87.5,86.6,81.7,71.5,60.4,54.1,1977,New Mexico
48.7,50.6,59.4,67.0,74.3,84.7,87.7,85.1,78.7,68.0,53.9,44.4,1982,New Mexico
46.2,49.7,55.6,67.1,73.1,84.3,87.7,83.5,77.9,72.7,56.4,46.3,1987,New Mexico
43.8,52.2,60.1,71.0,72.8,82.9,86.5,84.2,81.4,72.9,52.0,44.9,1992,New Mexico
45.2,49.7,64.8,62.7,76.6,84.4,88.1,85.3,81.6,69.3,55.9,43.5,1997,New Mexico
50.4,52.8,61.2,74.3,80.7,91.2,88.2,88.6,79.4,66.4,56.5,46.6,2002,New Mexico
42.8,53.6,63.8,67.4,74.6,86.4,87.9,87.9,81.3,73.7,62.3,47.9,2007,New Mexico
53.3,52.1,65.1,73.7,80.1,91.8,88.4,88.6,81.3,73.1,63.6,50.6,2012,New Mexico
49.0,58.9,68.5,69.8,76.5,89.9,89.1,84.2,80.9,72.3,66.2,54.6,2017,New Mexico
51.3,51.4,61.1,72.8,82.9,87.2,90.4,84.1,82.8,66.9,54.5,50.5,2022,New Mexico
19.6,30.3,46.4,56.4,71.3,71.8,79.6,75.7,67.4,55.6,46.4,30.6,1977,New York
22.0,30.5,40.0,52.1,69.3,70.5,80.2,74.1,69.6,60.0,48.4,41.0,1982,New York
28.6,29.9,45.6,57.9,68.0,76.0,80.8,75.7,67.6,55.4,46.5,35.6,1987,New York
30.9,32.7,37.3,51.4,66.9,72.6,74.2,73.8,69.1,53.9,42.8,34.6,1992,New York
29.3,37.1,39.5,52.1,60.5,76.7,78.4,75.7,68.1,57.9,41.7,34.7,1997,New York
36.6,39.5,42.9,56.4,62.3,75.4,81.4,81.0,74.9,54.9,43.0,32.6,2002,New York
33.4,24.8,41.0,50.5,69.8,78.2,77.5,79.0,74.0,65.0,44.0,32.9,2007,New York
34.6,37.9,54.6,55.1,72.0,75.5,83.2,79.9,70.9,59.6,43.9,38.3,2012,New York
34.9,39.7,37.7,59.6,63.8,74.6,77.8,76.6,73.6,65.7,44.9,30.1,2017,New York
26.6,34.9,44.0,54.2,70.8,75.0,81.4,81.1,69.6,60.7,49.8,36.4,2022,New York
38.2,53.6,64.5,74.6,80.0,84.0,91.2,87.4,82.6,67.8,61.9,50.6,1977,North Carolina
44.9,54.8,62.4,67.4,81.5,82.3,86.3,84.4,78.7,69.6,62.8,57.0,1982,North Carolina
47.9,50.4,60.2,66.6,80.3,85.4,89.9,88.1,81.0,67.9,64.7,54.0,1987,North Carolina
52.3,57.1,61.1,69.9,73.2,80.0,89.0,82.3,79.8,69.2,60.7,51.0,1992,North Carolina
50.8,56.8,67.1,67.0,75.7,80.5,88.2,86.0,80.6,71.2,57.4,51.3,1997,North Carolina
54.2,57.0,63.5,75.0,77.7,87.1,89.5,88.0,81.5,70.4,58.9,50.6,2002,North Carolina
54.8,50.4,67.4,70.2,78.8,85.5,86.6,92.4,84.4,77.1,62.3,58.3,2007,North Carolina
55.2,57.4,71.0,71.4,80.3,84.1,90.8,84.7,80.4,70.3,58.2,57.8,2012,North Carolina
54.9,64.0,62.7,75.1,78.5,84.0,88.7,85.2,80.8,74.5,62.3,52.4,2017,North Carolina
49.4,58.1,66.1,71.8,79.8,86.6,88.6,85.9,81.3,69.1,64.2,52.0,2022,North Carolina
7.8,30.9,43.1,63.8,77.1,77.9,83.6,74.7,65.7,57.9,34.7,14.2,1977,North Dakota
3.5,19.7,31.0,50.3,64.2,71.7,82.1,80.4,70.4,53.9,32.5,27.8,1982,North Dakota
28.7,34.5,35.5,64.9,72.5,81.9,81.9,76.6,72.2,54.8,44.8,30.9,1987,North Dakota
30.7,33.5,43.7,51.8,71.9,74.1,73.2,76.5,68.8,57.5,31.0,18.3,1992,North Dakota
11.2,26.5,32.6,47.5,65.2,80.6,80.0,81.2,74.8,57.7,33.8,33.0,1997,North Dakota
26.0,35.1,26.7,49.9,62.6,78.1,85.1,78.8,72.8,43.8,39.0,29.8,2002,North Dakota
24.4,16.9,43.5,53.0,68.1,77.1,86.5,79.2,72.2,57.7,39.6,23.1,2007,North Dakota
30.4,32.0,53.5,58.5,68.0,78.3,87.3,82.3,74.6,51.1,36.2,21.8,2012,North Dakota
18.4,29.2,37.3,55.0,68.7,78.3,86.7,78.4,70.7,58.1,36.4,24.7,2017,North Dakota
20.1,21.5,37.2,42.5,64.4,77.2,82.9,82.6,75.2,58.7,32.0,14.6,2022,North Dakota
20.1,36.1,54.9,65.8,79.2,78.5,86.4,80.8,76.8,60.8,51.0,36.1,1977,Ohio
29.5,35.6,48.3,57.6,78.5,76.4,84.4,79.6,73.7,66.2,52.5,47.2,1982,Ohio
34.1,41.6,53.7,61.1,77.2,82.5,85.3,83.4,76.5,59.3,55.7,41.3,1987,Ohio
37.3,43.3,48.4,60.0,70.2,76.1,81.0,77.5,74.0,62.0,48.8,39.4,1992,Ohio
34.5,42.9,51.3,58.2,65.8,78.5,83.1,78.5,74.4,64.7,45.9,39.7,1997,Ohio
42.1,45.0,49.1,63.7,68.5,82.8,87.3,85.7,81.1,61.0,47.3,37.3,2002,Ohio
39.9,27.8,54.2,58.4,77.6,83.2,82.3,85.9,80.6,70.6,51.1,40.0,2007,Ohio
40.4,43.4,63.6,62.0,78.9,83.1,89.2,83.7,74.8,62.2,49.9,44.7,2012,Ohio
41.6,50.3,49.6,68.4,70.7,81.0,83.0,80.5,77.3,68.1,51.2,37.4,2017,Ohio
32.9,40.2,54.4,59.2,74.8,82.7,84.1,82.3,75.4,64.3,53.8,40.2,2022,Ohio
39.6,59.0,65.5,73.5,81.7,91.9,96.0,91.3,87.7,76.1,61.6,52.6,1977,Oklahoma
48.2,48.1,63.6,69.1,78.6,83.2,92.4,95.4,86.6,75.2,59.4,51.8,1982,Oklahoma
45.9,55.0,60.8,74.8,82.6,87.6,90.2,93.1,83.2,71.9,60.7,49.1,1987,Oklahoma
51.4,59.9,65.8,72.2,76.6,83.2,90.5,85.4,83.3,76.4,55.3,49.2,1992,Oklahoma
48.0,52.6,66.4,65.9,77.9,85.9,93.3,89.2,86.0,72.8,56.6,47.1,1997,Oklahoma
52.8,53.7,60.3,72.8,78.1,88.4,91.6,92.8,87.0,65.6,59.6,50.9,2002,Oklahoma
44.4,50.6,69.7,66.7,78.4,84.5,89.0,93.7,85.3,77.1,64.2,49.0,2007,Oklahoma
56.4,54.7,71.5,75.9,85.0,91.7,99.5,95.5,87.7,72.4,67.3,54.5,2012,Oklahoma
53.1,64.2,69.3,72.9,79.9,88.6,94.2,87.5,85.4,75.4,65.3,52.0,2017,Oklahoma
51.8,52.6,65.2,74.6,82.2,91.0,100.2,94.9,90.6,76.4,58.6,51.1,2022,Oklahoma
36.7,48.4,45.5,61.2,56.2,75.7,79.0,81.7,67.7,60.1,45.1,41.7,1977,Oregon
36.4,41.2,46.5,51.6,63.0,71.0,76.7,79.4,68.2,57.4,42.4,38.2,1982,Oregon
38.0,44.7,49.2,63.2,66.7,75.4,75.2,80.6,77.0,69.0,47.7,37.6,1987,Oregon
42.6,49.7,56.5,59.5,73.1,75.7,78.8,82.7,72.6,63.0,44.5,35.6,1992,Oregon
40.2,43.8,50.9,53.6,69.2,69.5,78.9,81.5,72.7,58.1,48.7,40.0,1997,Oregon
38.6,45.4,47.2,56.8,63.2,74.0,85.2,79.6,74.5,60.3,51.0,41.9,2002,Oregon
39.8,44.6,54.9,56.9,67.4,73.1,85.3,80.8,71.4,57.3,49.0,37.2,2007,Oregon
43.2,43.6,47.6,57.2,64.1,68.7,81.8,84.6,78.3,61.1,48.6,38.0,2012,Oregon
34.7,42.1,50.2,53.1,66.3,73.5,85.6,85.5,73.2,59.3,46.9,41.3,2017,Oregon
43.4,46.6,52.3,51.1,59.2,71.0,85.4,86.4,77.2,67.8,42.4,37.5,2022,Oregon
21.6,35.8,52.5,62.2,75.3,74.9,83.0,79.2,72.8,58.8,48.7,34.5,1977,Pennsylvania
27.0,35.5,45.1,56.7,73.8,73.4,82.2,76.9,71.6,62.6,51.7,44.9,1982,Pennsylvania
32.1,36.8,51.2,59.4,71.9,79.8,84.1,79.6,71.5,57.6,51.2,39.5,1987,Pennsylvania
36.2,39.3,43.9,57.2,68.0,74.7,78.6,76.1,71.3,58.4,47.0,37.2,1992,Pennsylvania
33.6,42.3,47.3,56.5,64.8,77.7,81.6,77.9,71.4,62.2,44.4,38.8,1997,Pennsylvania
41.0,44.4,48.8,61.8,67.5,79.4,84.4,84.2,77.4,58.2,46.5,35.3,2002,Pennsylvania
39.3,28.3,48.7,54.8,74.7,80.6,80.8,81.5,77.0,68.9,48.1,38.1,2007,Pennsylvania
38.8,42.7,59.7,60.1,75.6,78.4,85.7,81.1,73.0,61.7,46.6,42.8,2012,Pennsylvania
38.6,46.7,45.0,65.5,67.4,78.4,81.6,78.2,75.0,67.2,48.6,35.6,2017,Pennsylvania
31.8,40.5,50.3,57.9,72.4,79.0,84.0,82.7,73.0,61.0,52.6,38.8,2022,Pennsylvania
28.6,35.8,50.5,59.5,70.5,73.6,81.5,79.7,70.7,60.7,52.0,38.3,1977,Rhode Island
30.3,37.6,45.8,55.6,68.0,70.7,81.6,76.4,71.5,61.8,54.3,44.9,1982,Rhode Island
35.7,37.4,47.4,55.8,68.3,76.5,80.6,78.3,71.0,60.8,51.2,41.7,1987,Rhode Island
38.6,39.8,43.2,53.9,67.4,75.3,77.9,76.7,71.1,59.5,48.7,40.4,1992,Rhode Island
37.1,43.6,45.3,55.5,63.6,77.1,81.9,78.5,72.0,61.5,47.9,41.8,1997,Rhode Island
42.8,44.9,49.0,60.4,65.7,75.0,83.0,82.9,75.3,59.9,49.4,39.7,2002,Rhode Island
40.7,33.5,46.8,53.7,70.8,76.5,81.2,81.4,76.2,67.4,50.3,39.0,2007,Rhode Island
42.5,45.1,55.2,61.3,69.4,75.3,83.5,82.0,72.7,64.1,49.2,45.1,2012,Rhode Island
41.5,44.8,42.8,61.1,65.2,76.8,80.0,79.7,75.5,69.2,52.7,37.6,2017,Rhode Island
36.8,42.9,50.6,58.2,70.0,76.5,84.7,84.8,72.4,63.5,56.7,44.0,2022,Rhode Island
43.7,58.8,68.7,78.6,83.9,90.2,94.4,89.0,85.9,72.2,67.0,55.7,1977,South Carolina
51.2,60.6,68.1,71.4,84.9,87.1,89.4,87.7,82.1,73.4,66.6,61.6,1982,South Carolina
53.0,55.4,64.8,72.6,84.1,88.6,93.0,92.2,84.0,71.6,68.9,59.4,1987,South Carolina
56.6,62.1,66.1,73.9,78.8,84.0,92.0,86.1,82.7,72.7,64.8,54.8,1992,South Carolina
56.5,61.7,73.6,72.1,79.4,82.6,90.8,88.7,84.0,74.1,61.5,55.6,1997,South Carolina
59.0,61.0,69.0,79.6,81.2,89.4,93.2,90.8,84.5,74.8,63.2,55.0,2002,South Carolina
59.2,57.6,72.2,74.9,82.6,88.3,89.0,95.8,87.0,79.5,67.3,63.8,2007,South Carolina
60.6,62.7,75.4,76.9,83.6,86.0,93.8,87.1,84.2,74.8,63.3,61.8,2012,South Carolina
62.0,68.9,68.7,78.6,83.0,86.5,91.2,88.7,85.2,77.9,66.7,57.9,2017,South Carolina
54.9,64.4,70.5,75.5,84.2,90.4,90.4,88.0,84.6,73.1,67.5,56.1,2022,South Carolina
17.6,38.9,45.0,64.0,76.3,82.6,88.3,79.7,73.2,60.1,40.2,24.4,1977,South Dakota
15.6,30.1,40.0,54.9,66.9,73.7,86.4,84.2,72.7,57.8,39.2,34.9,1982,South Dakota
37.4,41.9,40.9,66.5,74.1,83.6,88.4,80.2,75.1,59.2,48.1,35.7,1987,South Dakota
38.7,41.3,50.5,57.0,74.5,75.8,74.6,77.1,74.5,61.6,35.9,27.1,1992,South Dakota
20.1,32.0,43.4,50.7,65.5,80.2,83.0,81.4,76.8,63.5,40.5,37.2,1997,South Dakota
34.9,42.3,32.6,57.9,66.2,84.6,91.4,83.8,76.2,49.6,45.9,38.3,2002,South Dakota
30.9,24.5,52.2,54.7,72.8,80.6,90.4,83.3,76.8,62.6,47.2,29.7,2007,South Dakota
37.3,37.6,61.6,63.5,71.8,84.4,93.1,86.6,79.8,58.3,46.8,31.3,2012,South Dakota
24.7,39.9,46.8,58.9,69.3,82.6,91.0,80.3,75.2,61.5,46.8,31.7,2017,South Dakota
32.1,33.8,46.4,52.0,67.9,80.9,88.1,87.2,81.0,63.8,40.4,24.6,2022,South Dakota
32.6,51.1,64.9,74.1,81.4,86.3,90.4,88.2,82.2,67.4,59.4,47.5,1977,Tennessee
43.5,49.3,62.8,65.3,82.2,83.2,88.6,85.1,78.7,71.1,60.2,54.6,1982,Tennessee
44.8,51.1,62.7,68.0,83.2,86.2,88.9,90.5,82.0,67.6,63.2,52.4,1987,Tennessee
48.5,56.4,60.0,69.7,75.0,80.4,86.5,81.6,78.9,69.4,57.6,47.1,1992,Tennessee
47.0,54.4,65.0,65.6,73.9,79.5,88.8,85.4,81.6,70.0,53.0,47.4,1997,Tennessee
51.2,51.8,60.2,73.2,75.8,86.5,89.2,89.4,84.5,69.2,55.1,48.7,2002,Tennessee
49.5,46.4,69.6,67.7,82.5,88.0,87.0,95.9,85.4,75.4,60.4,54.4,2007,Tennessee
53.1,54.8,72.2,72.8,82.3,86.8,91.4,87.0,80.4,67.8,59.2,54.8,2012,Tennessee
52.9,60.3,62.9,75.0,77.9,83.7,88.3,84.8,80.3,73.4,61.4,49.1,2017,Tennessee
45.8,53.5,64.2,68.9,79.9,87.8,90.3,86.2,81.4,70.4,60.6,50.0,2022,Tennessee
50.1,63.8,70.2,76.1,84.1,92.6,95.3,95.1,92.9,80.6,70.3,63.4,1977,Texas
60.2,58.5,70.9,76.0,82.4,89.8,94.5,95.6,90.2,78.5,65.8,58.4,1982,Texas
57.0,61.1,66.2,77.2,83.2,87.9,91.8,94.2,86.6,79.5,68.0,59.7,1987,Texas
55.1,64.5,71.7,76.8,80.4,89.3,92.6,90.0,88.4,81.8,63.8,59.4,1992,Texas
56.0,59.2,72.2,71.2,82.1,88.8,94.7,93.7,90.4,78.2,64.2,56.8,1997,Texas
61.7,60.6,69.0,80.6,86.5,92.4,91.3,94.7,88.2,74.1,64.9,59.3,2002,Texas
52.1,62.2,73.7,74.0,81.5,88.5,88.9,92.7,88.2,82.7,70.4,62.6,2007,Texas
64.4,62.9,75.6,83.9,87.7,95.1,95.1,96.4,89.2,78.5,73.4,64.6,2012,Texas
63.0,72.0,76.4,80.1,85.0,92.3,95.5,91.2,88.4,80.0,73.2,59.7,2017,Texas
60.2,60.0,72.5,82.6,91.2,96.4,100.0,94.4,90.3,79.7,64.7,61.1,2022,Texas
36.4,47.3,46.6,63.4,63.5,83.9,85.9,83.8,75.9,65.2,50.4,43.8,1977,Utah
35.7,40.0,47.7,55.9,66.7,77.1,84.1,84.1,71.4,56.4,43.5,35.4,1982,Utah
34.8,42.3,47.7,64.8,69.0,82.0,83.3,82.5,77.0,66.0,45.8,35.1,1987,Utah
35.3,44.7,53.0,66.6,72.3,79.0,83.4,85.1,76.9,66.1,42.3,33.4,1992,Utah
36.3,40.2,55.7,55.1,72.4,79.1,84.7,83.6,73.9,62.1,48.2,36.4,1997,Utah
36.6,42.2,49.2,63.7,71.5,85.0,91.8,86.4,74.2,59.7,47.4,39.3,2002,Utah
34.2,45.4,56.3,61.6,72.3,84.5,91.4,87.2,76.0,62.5,54.1,34.2,2007,Utah
42.8,42.5,55.7,63.7,73.1,85.4,87.4,87.3,78.3,64.8,53.5,37.2,2012,Utah
34.7,46.1,58.0,58.7,69.7,85.2,89.6,85.8,74.0,62.8,55.6,44.1,2017,Utah
40.8,42.2,52.5,60.4,69.5,82.9,90.0,85.8,81.1,64.6,43.4,37.3,2022,Utah
19.2,27.8,44.2,53.0,70.0,70.1,77.3,74.2,63.9,53.8,44.6,27.4,1977,Vermont
18.4,28.1,37.7,49.1,68.1,68.9,78.7,72.7,68.4,57.1,46.3,37.4,1982,Vermont
25.5,25.8,41.9,56.6,65.4,73.0,78.9,73.8,65.1,54.2,42.4,32.2,1987,Vermont
26.6,29.0,34.6,48.3,66.5,71.7,72.7,72.8,67.5,50.6,39.7,32.3,1992,Vermont
25.8,33.8,35.1,49.2,57.9,75.5,76.4,74.0,65.8,54.5,40.1,31.4,1997,Vermont
33.3,35.1,38.9,53.9,60.9,72.2,78.2,79.2,72.6,52.0,39.8,30.4,2002,Vermont
28.8,22.4,37.2,47.9,66.6,74.9,75.3,76.6,71.3,61.2,40.4,29.2,2007,Vermont
30.2,34.8,49.8,54.1,68.9,73.6,80.3,79.4,69.0,58.2,42.0,34.5,2012,Vermont
32.6,35.2,33.1,56.0,62.1,72.8,75.9,75.0,72.4,64.5,42.0,26.0,2017,Vermont
23.7,32.7,40.9,52.0,70.6,73.2,80.2,79.9,67.9,60.6,48.4,35.2,2022,Vermont
32.0,48.2,61.8,70.8,77.9,80.2,89.3,86.4,79.8,64.0,56.2,44.9,1977,Virginia
37.8,47.8,56.6,64.1,79.1,79.3,84.9,81.8,76.4,67.2,59.4,52.1,1982,Virginia
41.6,45.9,57.4,61.9,77.8,84.3,89.1,87.1,78.3,64.4,60.5,49.1,1987,Virginia
47.4,51.0,55.3,66.1,70.2,77.6,85.9,80.1,76.8,66.0,55.6,45.8,1992,Virginia
45.5,51.5,59.8,62.9,72.2,79.6,86.5,83.9,77.9,68.1,53.0,47.3,1997,Virginia
50.2,53.2,58.5,70.7,74.8,85.3,87.6,87.5,80.2,65.9,54.5,45.2,2002,Virginia
49.7,41.9,62.4,65.3,77.0,83.5,85.3,89.3,82.3,74.8,57.8,50.6,2007,Virginia
49.6,53.1,67.9,68.0,78.2,82.5,89.4,84.1,77.9,67.2,54.0,52.5,2012,Virginia
48.3,58.7,57.6,72.1,73.8,82.3,87.5,82.7,77.9,72.1,57.4,46.7,2017,Virginia
42.8,52.7,61.6,68.0,75.9,83.8,86.8,84.6,79.0,65.8,60.2,47.3,2022,Virginia
32.1,45.5,46.2,60.9,58.9,73.4,75.3,81.0,64.4,56.8,41.4,36.8,1977,Washington
34.3,40.1,47.8,52.4,63.0,73.4,74.6,76.4,68.5,55.7,40.0,36.1,1982,Washington
35.3,44.0,49.7,60.5,66.3,74.1,74.8,77.8,75.0,63.7,47.0,35.2,1987,Washington
39.7,46.4,56.4,57.9,69.8,76.3,76.1,79.2,67.5,58.4,42.0,32.9,1992,Washington
36.2,41.3,46.7,53.6,66.0,67.7,75.9,79.7,70.6,54.9,46.5,38.1,1997,Washington
38.1,42.3,43.6,55.2,60.5,71.9,79.9,77.5,70.6,57.2,46.8,39.0,2002,Washington
35.2,41.7,50.3,55.2,65.6,69.0,81.5,76.4,68.9,54.8,43.6,35.7,2007,Washington
37.5,41.4,45.7,56.4,62.4,65.1,77.9,80.6,73.9,57.0,44.7,37.2,2012,Washington
30.9,37.7,46.3,53.2,65.5,71.5,81.7,83.1,71.9,56.4,43.4,35.1,2017,Washington
37.1,42.0,50.2,50.2,57.9,68.5,81.6,84.0,74.6,65.1,39.3,31.8,2022,Washington
25.3,41.2,58.3,67.5,77.2,76.5,85.0,81.4,76.8,60.5,53.9,41.1,1977,West Virginia
35.4,43.4,54.2,60.9,78.4,76.7,82.8,78.3,73.1,65.6,55.8,49.8,1982,West Virginia
36.8,42.9,56.2,59.4,77.7,81.6,85.7,85.4,75.2,61.1,57.2,44.6,1987,West Virginia
41.9,46.9,50.8,62.0,69.4,75.5,82.1,77.8,75.4,64.0,52.1,41.2,1992,West Virginia
40.5,47.8,55.8,59.1,68.1,78.1,83.3,79.4,74.1,65.1,47.8,42.5,1997,West Virginia
44.7,48.7,54.6,66.6,71.1,81.9,84.0,84.6,80.5,63.0,49.5,40.7,2002,West Virginia
44.0,33.9,58.9,60.8,77.2,81.9,81.4,86.7,80.9,71.8,53.6,46.1,2007,West Virginia
44.6,47.7,65.6,64.4,77.8,80.7,86.5,82.5,75.7,63.9,51.0,47.8,2012,West Virginia
44.9,53.4,53.2,69.8,72.0,79.7,83.1,80.3,75.7,70.0,53.8,42.1,2017,West Virginia
36.9,47.2,57.6,63.4,75.2,81.2,83.0,81.9,74.8,63.3,56.0,44.0,2022,West Virginia
10.9,29.0,45.1,61.6,77.0,75.1,82.6,74.1,66.8,56.5,39.5,23.5,1977,Wisconsin
14.3,25.4,35.8,50.4,70.5,71.2,80.9,76.0,66.4,58.0,38.9,32.5,1982,Wisconsin
27.5,37.2,45.4,62.1,71.2,80.8,82.8,76.6,70.7,51.6,44.1,31.0,1987,Wisconsin
27.4,33.0,39.4,49.3,69.7,73.7,73.7,74.4,66.9,56.1,35.9,28.2,1992,Wisconsin
20.4,30.0,38.2,53.0,60.8,78.3,78.2,73.9,70.0,58.1,36.7,32.6,1997,Wisconsin
32.2,36.1,34.7,53.2,62.4,77.1,84.0,78.5,72.7,50.7,39.8,32.2,2002,Wisconsin
28.3,20.6,45.0,54.2,71.9,79.4,81.6,79.1,72.8,62.2,40.9,25.2,2007,Wisconsin
29.8,35.1,56.1,56.8,72.2,79.7,87.2,79.6,71.3,55.3,43.3,32.3,2012,Wisconsin
26.4,37.4,39.3,57.5,64.1,77.2,80.1,74.7,73.8,59.6,39.5,24.8,2017,Wisconsin
19.7,25.8,38.9,48.0,68.2,77.6,80.6,77.9,71.2,58.8,44.3,26.0,2022,Wisconsin
27.5,40.2,39.7,56.3,62.6,78.4,80.8,75.1,70.0,58.3,40.7,32.6,1977,Wyoming
28.4,33.9,42.5,49.1,58.9,68.2,78.8,81.4,64.6,51.7,37.1,29.9,1982,Wyoming
30.6,37.4,41.0,60.6,65.3,75.1,78.8,75.9,71.0,59.1,42.4,31.0,1987,Wyoming
34.3,41.9,48.9,58.3,67.0,72.1,74.7,77.6,70.3,59.6,35.6,26.5,1992,Wyoming
28.7,32.9,46.0,46.3,63.3,73.7,78.9,77.7,69.8,56.2,40.3,31.2,1997,Wyoming
31.0,35.8,36.6,53.6,62.0,77.4,86.2,78.7,69.2,49.8,40.4,35.0,2002,Wyoming
28.0,35.4,50.4,53.2,65.2,76.9,86.4,81.6,70.2,57.2,45.8,27.8,2007,Wyoming
36.4,33.6,53.1,58.7,64.5,79.5,85.7,83.1,73.9,54.5,46.6,32.4,2012,Wyoming
27.3,38.2,49.7,52.3,62.6,75.1,84.8,78.8,67.6,54.8,45.8,34.8,2017,Wyoming
34.8,33.3,45.0,49.4,59.4,74.1,85.2,82.8,75.4,58.7,36.7,30.1,2022,Wyoming
23.0,21.6,15.0,27.4,44.4,58.2,64.2,64.0,49.1,32.4,11.0,6.2,1977,Alaska
5.6,12.9,20.8,27.7,43.0,57.2,60.7,57.6,47.5,25.2,17.1,15.2,1982,Alaska
15.5,15.8,23.0,31.9,46.8,57.4,61.9,59.8,45.2,35.9,17.4,11.0,1987,Alaska
12.2,7.5,21.3,31.4,42.4,59.8,63.3,56.5,38.3,27.4,20.1,10.4,1992,Alaska
6.7,21.7,17.4,37.1,50.4,61.9,64.0,59.2,51.7,27.2,24.1,10.6,1997,Alaska
16.1,16.0,24.9,30.8,50.5,59.3,62.0,57.4,49.3,37.4,29.2,18.6,2002,Alaska
12.1,13.9,9.4,38.6,48.4,60.1,63.9,62.0,49.8,30.8,25.2,14.2,2007,Alaska
-5.4,19.4,13.6,36.5,45.6,59.3,59.3,57.3,46.7,32.0,12.0,5.8,2012,Alaska
11.8,14.6,15.2,38.6,49.7,60.3,64.4,57.1,49.0,35.6,22.0,24.8,2017,Alaska
9.9,15.0,24.5,34.4,49.0,62.9,61.2,56.8,48.8,34.2,22.6,13.8,2022,Alaska
21.7,32.6,48.5,57.6,71.8,72.4,80.8,77.5,69.0,57.1,47.4,32.2,1977,Northeast Region
23.7,32.4,42.0,53.2,70.2,71.5,80.8,75.2,70.2,60.5,49.6,41.7,1982,Northeast Region
29.9,32.2,46.8,57.7,68.8,76.8,81.5,77.4,69.1,57.0,47.7,36.8,1987,Northeast Region
32.5,34.9,39.8,53.1,67.4,73.8,76.2,75.2,70.0,55.6,44.4,35.6,1992,Northeast Region
